mol_id,smiles,A,B,C,mu,alpha,homo,lumo,gap,r2,zpve,u0,u298,h298,g298,cv,u0_atom,u298_atom,h298_atom,g298_atom
gdb_133786,C(CO)C(=O)C(F)(F)F,3.19999,0.85416,0.77267,2.1764,51.5,-0.2804,-0.0526,0.2278,1409.4624,0.094592,-605.33148,-605.321994,-605.32105,-605.368185,31.788,-1353.9629916111,-1360.4526896891,-1368.1566176821,-1260.4057922741
gdb_133787,CCCC(=O)C(F)(F)F,3.14115,0.85534,0.77373,2.5256,58.64,-0.2759,-0.0485,0.2274,1477.76,0.118081,-569.412293,-569.402601,-569.401657,-569.44899,33.065,-1541.0071092771,-1549.145273498,-1558.0351935011,-1434.3299517681
gdb_133788,CCNC(=N)C(F)(F)F,3.02772,0.93173,0.82373,2.155,60.55,-0.242,0.0066,0.2486,1398.7837,0.120117,-565.582085,-565.572564,-565.571619,-565.617878,33.287,-1486.678007566,-1494.922848317,-1503.8121408111,-1379.073391755
gdb_133789,CCOC(=N)C(F)(F)F,3.04792,0.97618,0.8589,1.4459,56.51,-0.2865,-0.005,0.2816,1339.8949,0.10762,-585.458242,-585.449005,-585.44806,-585.493918,31.807,-1421.2363489741,-1428.7708495371,-1437.0671460261,-1320.2958787431
gdb_133790,CCOC(=O)C(F)(F)F,3.08427,0.97492,0.86127,3.0158,52.4,-0.2984,-0.0229,0.2756,1325.171,0.095178,-605.356383,-605.347152,-605.346208,-605.392521,30.99,-1369.5898482381,-1376.239561111,-1383.943489104,-1275.6768512981
gdb_133791,CNCC(=O)C(F)(F)F,3.06169,0.9478,0.89806,1.4034,54.89,-0.2357,-0.0542,0.1815,1310.3462,0.10716,-585.445146,-585.435669,-585.434725,-585.481142,32.26,-1413.0184911101,-1420.402389513,-1428.699313511,-1312.278823759
gdb_133792,COCC(=O)C(F)(F)F,3.24425,0.89599,0.8096,3.2836,52.59,-0.2795,-0.0521,0.2273,1380.368,0.094038,-605.316836,-605.307352,-605.306408,-605.354182,31.317,-1344.7737498151,-1351.264702911,-1358.968630904,-1251.6187837471
gdb_133793,NC(CCO)C(F)(F)F,2.9187,0.85617,0.77047,2.0845,57.57,-0.2569,0.0765,0.3334,1451.6946,0.131586,-586.645786,-586.635912,-586.634968,-586.68142,34.814,-1538.5792769561,-1547.491159774,-1556.9740757821,-1424.2414895751
gdb_133794,OCCC(O)C(F)(F)F,3.0015,0.85643,0.77481,2.1123,54.19,-0.2728,0.0677,0.3406,1430.6486,0.118668,-606.523381,-606.51363,-606.512686,-606.559003,34.058,-1474.0399763061,-1482.1404899871,-1491.0304099901,-1366.4322229501
gdb_133795,CC(CCO)C(F)(F)F,2.83241,0.85857,0.76666,3.1695,61.06,-0.273,0.0714,0.3444,1475.1082,0.142208,-570.600103,-570.590026,-570.589082,-570.636098,35.391,-1658.5169546531,-1668.190633397,-1678.26654541,-1538.028324054
gdb_133796,CCCC(C)C(F)(F)F,2.791,0.85934,0.76811,2.1719,68.18,-0.3266,0.0822,0.4088,1542.7008,0.165678,-534.680873,-534.670593,-534.669649,-534.717001,36.659,-1845.5340894321,-1856.8581168461,-1868.1200208691,-1712.0139794301
gdb_133797,CCCC(N)C(F)(F)F,2.87684,0.85625,0.77258,0.9789,64.74,-0.2564,0.0791,0.3355,1519.3915,0.155011,-550.726104,-550.716029,-550.715084,-550.761861,36.09,-1725.312777667,-1735.8762641731,-1746.5445446821,-1597.937235793
gdb_133798,CCCC(O)C(F)(F)F,2.95651,0.8572,0.77653,1.8425,61.31,-0.2889,0.0699,0.3588,1498.1906,0.142131,-570.60397,-570.594014,-570.59307,-570.639694,35.336,-1660.9435319561,-1670.6931392891,-1680.7690513021,-1540.2848464181
gdb_133799,CCNC(C)C(F)(F)F,2.74121,0.92007,0.81376,2.6174,65.35,-0.2313,0.0783,0.3097,1463.3392,0.154164,-550.718005,-550.707825,-550.706881,-550.754092,36.104,-1720.230582276,-1730.728180337,-1741.397088355,-1593.0621183721
gdb_133800,CCOC(C)C(F)(F)F,2.55111,1.05609,0.89859,1.9845,62.17,-0.2676,0.0833,0.351,1345.0493,0.14147,-570.598584,-570.588525,-570.587581,-570.634847,35.186,-1657.563768482,-1667.248742388,-1677.3246544011,-1537.2433102951
gdb_133801,COCC(C)C(F)(F)F,2.93326,0.8978,0.80528,1.9419,61.8,-0.2647,0.0827,0.3474,1440.122,0.141878,-570.594118,-570.584099,-570.583155,-570.629943,34.879,-1654.7613132881,-1664.471387554,-1674.5472995671,-1534.1660061591
gdb_133802,COCC(N)C(F)(F)F,3.0464,0.89833,0.81121,3.0217,58.34,-0.2525,0.074,0.3264,1413.5329,0.131159,-586.636047,-586.626209,-586.625264,-586.671597,34.321,-1532.467966805,-1541.402439947,-1550.884728446,-1418.0774686681
gdb_133803,COCC(O)C(F)(F)F,2.55694,1.08228,0.90913,2.4501,54.86,-0.2674,0.0642,0.3316,1287.1704,0.118298,-606.512494,-606.502798,-606.501854,-606.548179,33.545,-1467.208285823,-1475.343312499,-1484.233232502,-1359.6400655341
gdb_133804,C(CCO)CC(F)(F)F,4.48111,0.53421,0.52786,2.1359,61.78,-0.2704,0.0732,0.3436,2005.3927,0.142684,-570.600312,-570.590317,-570.589373,-570.636847,34.617,-1658.6481040341,-1668.3732385161,-1678.4491505291,-1538.4983282951
